,Zip Code,Offense
825,64118.0,1188
826,64114.0,650
827,64127.0,403
828,64126.0,403
829,64111.0,2402
830,64151.0,802
831,64118.0,1401
832,64110.0,650
833,64108.0,801
834,64132.0,501
836,64134.0,401
837,64111.0,702
838,64117.0,801
839,64110.0,501
840,64127.0,1849
841,64152.0,802
842,64113.0,702
843,64123.0,401
844,64111.0,801
845,64154.0,2604
846,64126.0,802
847,64133.0,1401
849,64130.0,2655
850,64131.0,502
851,64134.0,801
852,64152.0,640
853,64133.0,690
854,64114.0,501
855,64132.0,501
856,64118.0,1849
857,64116.0,802
858,64106.0,2655
859,64132.0,801
860,64110.0,670
861,64131.0,640
862,64152.0,2601
863,64137.0,690
864,64124.0,1120
865,64105.0,802
866,64127.0,501
867,64157.0,640
868,64111.0,670
869,64106.0,690
870,64106.0,302
871,64110.0,640
872,64153.0,1002
873,64132.0,801
875,64127.0,3070
876,64124.0,802
877,64154.0,1401
878,64117.0,1188
880,64109.0,1122
882,64130.0,1120
883,64130.0,302
884,64134.0,802
885,64158.0,640
886,64111.0,301
887,64128.0,1401
888,64105.0,670
889,64110.0,1198
890,64108.0,1401
891,64113.0,640
892,64145.0,630
893,64109.0,702
895,64158.0,650
896,64112.0,801
897,64127.0,702
898,64127.0,501
899,64110.0,801
900,64157.0,501
901,64127.0,801
902,64154.0,640
903,64118.0,640
904,64127.0,501
905,64131.0,1198
906,64129.0,401
907,64127.0,690
908,64133.0,650
910,64132.0,1401
911,64130.0,1120
912,64127.0,802
913,64128.0,302
914,64123.0,702
915,64130.0,501
916,64130.0,801
918,64127.0,1401
919,64131.0,501
920,64111.0,670
922,64127.0,702
924,64110.0,801
925,64114.0,801
926,64137.0,1401
927,64116.0,501
930,64110.0,640
932,64138.0,702
933,64123.0,802
934,64131.0,802
935,64111.0,2201
936,64130.0,2601
937,64137.0,801
938,64132.0,501
939,64114.0,401
941,64112.0,501
943,64118.0,650
945,64127.0,501
946,64134.0,802
949,64153.0,630
950,64155.0,2100
951,64151.0,640
952,64145.0,801
953,64111.0,401
957,64132.0,501
958,64108.0,403
959,64126.0,702
961,64130.0,640
962,64132.0,802
963,64110.0,640
965,64118.0,802
967,64127.0,1850
968,64110.0,702
971,64138.0,650
972,64130.0,501
974,64106.0,2655
975,64128.0,801
976,64130.0,1122
977,64137.0,2100
978,64130.0,1849
980,64127.0,501
981,64124.0,501
982,64124.0,802
984,64137.0,2601
986,64117.0,501
987,64114.0,702
988,64132.0,501
989,64151.0,802
990,64106.0,501
991,64127.0,650
992,64127.0,401
993,64124.0,401
994,64123.0,801
995,64111.0,702
996,64106.0,2601
997,64113.0,640
998,64108.0,840
999,64105.0,630
1000,64124.0,630
1002,64133.0,650
1003,64131.0,2655
1004,64128.0,403
1005,64116.0,802
1006,64145.0,1002
1007,64112.0,702
1009,64130.0,1401
1010,64124.0,702
1011,64118.0,2402
1012,64130.0,1002
1013,64109.0,801
1014,64114.0,650
1015,64120.0,2601
1017,64111.0,690
1018,64158.0,401
1019,64106.0,2601
1020,64106.0,401
1022,64101.0,502
1023,64128.0,801
1024,64137.0,401
1025,64127.0,1401
1026,64153.0,630
1028,64133.0,501
1029,64134.0,1850
1030,64110.0,690
1033,64126.0,501
1034,64130.0,831
1035,64112.0,1401
1036,64130.0,501
1039,64127.0,1849
1040,64123.0,501
1041,64106.0,1401
1042,64133.0,1850
1043,64126.0,2601
1044,64127.0,650
1046,64130.0,403
1047,64111.0,1401
1049,64112.0,702
1050,64133.0,801
1051,64129.0,1120
1052,64134.0,501
1054,64138.0,501
1055,64126.0,403
1056,64104.0,2655
1057,64127.0,2601
1058,64134.0,2601
1059,64117.0,2402
1060,64129.0,702
1063,64130.0,2603
1067,64109.0,302
1068,64130.0,670
1069,64118.0,802
1073,64132.0,403
1074,64105.0,702
1075,64157.0,650
1076,64118.0,831
1077,64110.0,640
1080,64130.0,702
1081,64127.0,302
1082,64106.0,702
1084,64133.0,650
1086,64113.0,640
1087,64123.0,2040
1088,64119.0,640
1089,64154.0,1002
1090,64127.0,2601
1091,64118.0,640
1092,64108.0,501
1093,64118.0,2601
1094,64127.0,702
1095,64130.0,1849
1096,64130.0,801
1097,64108.0,2601
1098,64106.0,1849
1099,64111.0,2402
1100,64111.0,660
1102,64127.0,2100
1103,64117.0,302
1105,64130.0,401
1106,64126.0,802
1107,64134.0,640
1108,64151.0,802
1109,64133.0,2402
1111,64117.0,501
1112,64114.0,640
1113,64123.0,1401
1114,64114.0,670
1116,64138.0,1198
1117,64111.0,801
1118,64108.0,1401
1119,64129.0,702
1121,64113.0,640
1123,64118.0,702
1124,64153.0,630
1125,64128.0,690
1126,64151.0,640
1127,64129.0,690
1128,64134.0,2601
1129,64128.0,650
1130,64111.0,630
1134,64131.0,690
1135,64133.0,670
1136,64151.0,690
1137,64109.0,650
1138,64130.0,2100
1139,64131.0,1401
1141,64123.0,702
1143,64112.0,1401
1145,64109.0,2100
1146,64130.0,702
1147,64153.0,640
1148,64108.0,2402
1149,64118.0,1120
1150,64124.0,702
1151,64130.0,801
1152,64131.0,502
1153,64118.0,301
1154,64127.0,2601
1155,64118.0,501
1156,64130.0,802
1157,64131.0,2040
1158,64130.0,501
1159,64145.0,2601
1160,64111.0,640
1161,64131.0,670
1162,64161.0,670
1163,64124.0,1702
1164,64118.0,702
1165,64109.0,2655
1166,64110.0,1198
1167,64119.0,802
1168,64127.0,801
1171,64111.0,401
1173,64123.0,1401
1174,64105.0,801
1175,64111.0,1122
1176,64130.0,840
1177,64118.0,831
1178,64129.0,690
1179,64132.0,1198
1180,64133.0,1401
1181,64111.0,802
1184,64111.0,1850
1185,64132.0,401
1187,64117.0,630
1188,64128.0,650
1189,64130.0,801
1191,64134.0,802
1192,64106.0,1849
1193,64154.0,630
1194,64127.0,1401
1195,64108.0,302
1196,64111.0,801
1197,64157.0,650
1198,64109.0,301
1199,64109.0,670
1200,64127.0,670
1203,64120.0,502
1204,64130.0,501
1205,64127.0,401
1207,64025.0,801
1208,64158.0,630
1209,64124.0,2655
1210,64110.0,702
1211,64131.0,640
1212,64127.0,401
1215,64152.0,403
1217,64127.0,402
1218,64137.0,2601
1219,64109.0,403
1220,64134.0,501
1221,64133.0,501
1222,64110.0,650
1223,64128.0,802
1224,64128.0,1401
1225,64134.0,201
1227,64124.0,702
1228,64130.0,1401
1229,64111.0,403
1230,64120.0,1120
1231,64128.0,2601
1232,64114.0,690
1234,64106.0,2601
1235,64133.0,630
1236,64106.0,650
1237,64130.0,690
1238,64109.0,702
1239,64127.0,302
1240,64110.0,301
1242,64137.0,831
1243,64110.0,501
1244,64119.0,501
1245,64130.0,501
1246,64128.0,630
1247,64127.0,702
1248,64106.0,840
1249,64130.0,2001
1250,64133.0,802
1251,64128.0,670
1252,64155.0,650
1253,64134.0,640
1254,64151.0,210
1256,64134.0,690
1257,64111.0,301
1258,64116.0,501
1260,64152.0,640
1261,64117.0,1188
1263,64111.0,301
1264,64134.0,801
1265,64155.0,802
1266,64109.0,1849
1268,64111.0,2655
1269,64130.0,802
1271,64117.0,650
1272,64137.0,401
1273,64130.0,2100
1274,64106.0,670
1275,64116.0,1122
1276,64124.0,401
1277,64128.0,650
1279,64130.0,501
1280,64133.0,1198
1282,64123.0,2040
1283,64130.0,1401
1284,64114.0,640
1285,64111.0,2655
1286,64128.0,630
1287,64116.0,1401
1288,64109.0,801
1289,64129.0,802
1290,64152.0,640
1292,64130.0,501
1295,64127.0,802
1296,64155.0,403
1297,64117.0,1188
1299,64130.0,702
1300,64134.0,501
1301,64119.0,690
1304,64128.0,2601
1305,64108.0,650
1306,64126.0,501
1307,64110.0,640
1309,64130.0,2655
1311,64125.0,801
1312,64123.0,302
1313,64127.0,2655
1314,64110.0,670
1315,64124.0,702
1318,64109.0,610
1319,64109.0,702
1320,64128.0,630
1321,64111.0,702
1322,64123.0,1401
1323,64132.0,1198
1324,64119.0,801
1325,64127.0,1849
1327,64128.0,1401
1329,64130.0,640
1330,64127.0,640
1331,64130.0,1352
1333,64134.0,501
1334,64118.0,640
1335,64116.0,1401
1336,64133.0,630
1337,64116.0,401
1338,64134.0,702
1339,64134.0,502
1340,64079.0,2601
1343,64111.0,2100
1344,64127.0,801
1346,64134.0,1188
1347,64128.0,702
1348,64129.0,802
1350,64155.0,640
1352,64106.0,640
1354,64116.0,2601
1355,64132.0,801
1356,64157.0,640
1357,64116.0,1401
1358,64127.0,1750
1359,64130.0,802
1362,64108.0,640
1364,64109.0,1401
1365,64111.0,831
1366,64105.0,670
1367,64132.0,640
1368,64137.0,401
1369,64133.0,802
1371,64127.0,801
1372,64134.0,501
1373,64129.0,802
1374,64111.0,501
1375,64109.0,1001
1376,64117.0,1850
1377,64110.0,210
1378,64110.0,640
1380,64110.0,702
1381,64114.0,702
1382,64123.0,401
1383,64132.0,2601
1384,64104.0,302
1387,64114.0,1750
1389,64128.0,401
1390,64114.0,1198
1391,64111.0,801
1393,64110.0,801
1395,64138.0,501
1396,64157.0,1850
1397,64110.0,3077
1398,64128.0,501
1399,64132.0,2655
1400,64128.0,801
1401,64152.0,2601
1402,64110.0,702
1403,64108.0,670
1404,64130.0,1401
1405,64131.0,640
1406,64113.0,670
1407,64127.0,840
1408,64130.0,302
1410,64124.0,403
1411,64111.0,630
1412,64133.0,1120
1413,64114.0,670
1414,64117.0,801
1416,64134.0,802
1417,64111.0,2655
1418,64130.0,501
1419,64111.0,1401
1420,64123.0,1198
1421,64130.0,640
1422,64124.0,301
1423,64117.0,670
1425,64114.0,670
1426,64134.0,501
1427,64109.0,401
1428,64129.0,801
1430,64151.0,403
1431,64153.0,650
1432,64127.0,1401
1433,64134.0,501
1434,64112.0,640
1435,64110.0,403
1436,64131.0,640
1437,64113.0,501
1438,64137.0,802
1439,64124.0,1850
1441,64151.0,690
1442,64123.0,1850
1443,64138.0,670
1445,64109.0,1401
1446,64116.0,2601
1447,64111.0,1849
1448,64111.0,690
