,Offense,Age,Month,Day,Year
415,801,21.0,10,27,2015
416,840,29.0,04,13,2015
417,2655,26.0,04,14,2015
418,690,,06,12,2015
419,401,,10,19,2015
420,301,48.0,07,26,2015
421,302,,01,14,2015
422,2655,25.0,07,03,2015
423,1546,,11,03,2015
424,840,,06,08,2015
425,301,,08,09,2015
426,1850,39.0,06,02,2015
427,801,,10,18,2015
428,801,30.0,03,03,2015
429,1849,,11,01,2015
430,802,29.0,10,13,2015
431,1849,,04,21,2015
432,690,,01,21,2015
433,1849,,02,08,2015
434,2402,40.0,05,09,2015
435,702,,10,24,2015
436,1850,19.0,04,27,2015
437,2601,33.0,03,11,2015
438,1850,,07,16,2015
439,802,31.0,02,13,2015
440,1849,,05,29,2015
441,1850,,09,18,2015
442,840,38.0,04,03,2015
443,2402,,03,25,2015
444,401,42.0,03,07,2015
445,301,34.0,03,21,2015
446,302,19.0,09,27,2015
447,1849,,01,21,2015
448,2402,,05,15,2015
449,1849,,03,04,2015
450,2402,,05,25,2015
451,702,56.0,12,09,2015
452,801,,04,29,2015
453,3020,,07,09,2015
454,690,26.0,10,26,2015
455,1849,,08,13,2015
456,301,,05,15,2015
457,702,,09,12,2015
458,1401,,04,04,2015
459,1352,,05,19,2015
460,650,,05,25,2015
461,401,41.0,02,25,2015
462,302,,07,06,2015
463,640,21.0,10,30,2015
464,1122,,02,03,2015
465,301,,10,30,2015
466,302,,12,08,2015
467,2601,20.0,02,12,2015
468,650,33.0,01,12,2015
469,302,,01,14,2015
470,640,20.0,08,15,2015
471,2100,28.0,04,04,2015
472,302,,02,17,2015
473,2601,38.0,04,03,2015
474,640,,04,10,2015
475,1651,40.0,09,09,2015
476,640,23.0,09,21,2015
477,1850,,04,03,2015
478,1001,48.0,06,17,2015
479,302,36.0,12,25,2015
480,690,,09,11,2015
481,650,24.0,12,24,2014
482,1850,,06,03,2015
483,1849,,11,15,2015
484,1849,,07,21,2015
485,1849,28.0,12,22,2015
486,301,26.0,07,31,2015
487,610,,10,02,2015
488,302,18.0,07,23,2015
489,690,,09,13,2015
490,690,,09,28,2015
491,301,32.0,11,26,2015
492,1352,62.0,03,20,2015
493,302,19.0,12,07,2015
494,2402,,08,01,2015
495,620,62.0,10,06,2015
496,1849,,01,27,2015
497,401,,01,09,2015
498,650,,05,24,2015
499,802,22.0,10,09,2015
500,702,21.0,04,09,2015
501,2402,,02,14,2015
502,2402,,03,30,2015
503,1849,,02,27,2015
504,1850,21.0,03,02,2015
505,1849,,08,13,2015
506,1001,42.0,06,17,2015
507,840,50.0,07,11,2015
508,302,24.0,03,07,2015
509,1849,,04,17,2015
510,650,,09,06,2015
511,620,,10,06,2015
512,1850,,08,31,2015
513,640,,05,29,2015
514,1401,57.0,08,13,2015
515,2100,31.0,09,13,2015
516,799,47.0,04,29,2015
517,302,26.0,09,01,2015
518,2402,,01,17,2015
519,2100,27.0,02,27,2015
520,1770,25.0,11,05,2015
521,302,,11,10,2015
522,1401,,10,22,2015
523,702,,05,02,2015
524,702,,09,03,2015
525,1850,,02,10,2015
526,301,,01,24,2015
527,2402,,04,25,2015
528,302,26.0,11,11,2015
529,702,,01,16,2015
530,2402,,03,21,2015
531,801,,10,11,2015
532,1546,,09,03,2015
533,801,37.0,11,01,2015
534,802,22.0,07,23,2015
535,690,,11,03,2015
536,640,27.0,09,07,2015
537,1849,,05,24,2015
538,840,,04,03,2015
539,1401,,04,04,2015
540,1849,,08,09,2015
541,401,32.0,09,09,2015
542,2100,,05,31,2015
543,670,,10,31,2015
544,640,,12,10,2015
545,301,,06,11,2015
546,650,,02,13,2015
547,802,45.0,06,10,2015
548,640,30.0,09,27,2015
549,840,,06,16,2015
550,802,37.0,09,27,2015
551,1352,,07,16,2015
552,2402,42.0,10,10,2015
553,2402,,10,10,2015
554,2655,55.0,07,28,2015
555,799,,11,24,2015
556,690,,10,27,2015
557,1850,36.0,02,01,2015
558,2100,32.0,12,22,2015
559,2601,23.0,12,19,2015
560,1849,,02,06,2015
561,2402,,09,13,2015
562,802,33.0,10,05,2015
563,1401,,05,10,2015
564,801,30.0,03,03,2015
